variant,seed,after_task,task_id,acc,context_entropy,context_margin,context_top1_acc,context_brier,context_ece,latent_frechet_margin,prototype_weight,class2_margin_vs4,class5_margin_vs4,class2_logit_rank,class5_logit_rank
reference_v22c,0,6,4,0.4645,0.1388426274061203,0.9403139352798462,1.0,0.0027193811256438494,0.03161158412694931,67.11576080322266,0.9499999284744263,,,,
reference_v22c,0,6,5,0.394,0.10743292421102524,0.9516274929046631,1.0,0.002187609439715743,0.02497107908129692,90.50788116455078,0.9499999284744263,,,,
reference_v22c,0,6,6,0.6575,0.06075434014201164,0.9740827679634094,1.0,0.001091096200980246,0.013487514108419418,141.34713745117188,0.9499999284744263,,,,
reference_v22c,0,7,0,0.05,0.19735173881053925,0.9131188988685608,0.0,1.897560477256775,0.9478192329406738,14.544828414916992,0.9499999284744263,0.28918325901031494,,30.200000762939453,
reference_v22c,0,7,1,0.322,0.21650177240371704,0.8767896294593811,1.0,0.01859966479241848,0.06409214437007904,52.06808853149414,0.9499999284744263,,4.6884846687316895,,3.744999885559082
reference_v22c,0,7,2,0.425,0.1250753253698349,0.9477061033248901,1.0,0.0023953719064593315,0.028097767382860184,36.30145263671875,0.9499999284744263,,,,
reference_v22c,0,7,3,0.2425,0.14410734176635742,0.9393789172172546,1.0,0.0027774113696068525,0.03249918669462204,40.068687438964844,0.9499999284744263,,,,
reference_v22c,0,7,4,0.447,0.1453256756067276,0.9388098120689392,1.0,0.002786659635603428,0.032730720937252045,77.09931945800781,0.9499999284744263,,,,
reference_v22c,0,7,5,0.314,0.18149976432323456,0.8950051665306091,0.871999979019165,0.1554974615573883,0.12018115818500519,44.1165885925293,0.9499999284744263,,,,
reference_v22c,0,7,6,0.6375,0.08587708324193954,0.9629269242286682,1.0,0.0016375387785956264,0.01938638836145401,96.78981018066406,0.9499999284744263,,,,
reference_v22c,0,7,7,0.6195,0.04786265641450882,0.9809219837188721,1.0,0.0008066989248618484,0.010281775146722794,141.65443420410156,0.9499999284744263,,,,
reference_v22c,0,8,0,0.0235,0.5648036003112793,0.6028976440429688,0.0,1.6530193090438843,0.7891519069671631,15.89205551147461,0.9499999284744263,-0.06437583267688751,,35.025001525878906,
reference_v22c,0,8,1,0.2905,0.2657627761363983,0.8483200669288635,1.0,0.023797454312443733,0.07953467220067978,14.579672813415527,0.9499999284744263,,3.5641274452209473,,11.772500038146973
reference_v22c,0,8,2,0.4335,0.1244826540350914,0.9455315470695496,1.0,0.0025355617981404066,0.02870510146021843,30.287153244018555,0.9499999284744263,,,,
reference_v22c,0,8,3,0.1845,0.14518536627292633,0.9355250000953674,1.0,0.003019156865775585,0.03379381075501442,28.689327239990234,0.9499999284744263,,,,
reference_v22c,0,8,4,0.3925,0.15918365120887756,0.9310627579689026,1.0,0.0032324697822332382,0.036599691957235336,50.15016174316406,0.9499999284744263,,,,
reference_v22c,0,8,5,0.3265,0.19069507718086243,0.8738066554069519,0.871999979019165,0.1264514923095703,0.11002811789512634,48.66569137573242,0.9499999284744263,,,,
reference_v22c,0,8,6,0.6495,0.08845210075378418,0.9616622924804688,1.0,0.0017095765797421336,0.020061630755662918,100.80462646484375,0.9499999284744263,,,,
reference_v22c,0,8,7,0.637,0.05692741274833679,0.9773295521736145,1.0,0.0009703444666229188,0.012310788035392761,134.21897888183594,0.9499999284744263,,,,
reference_v22c,0,8,8,0.4425,0.11609461158514023,0.9523274302482605,1.0,0.002124831546097994,0.02567003294825554,76.68153381347656,0.9499999284744263,,,,
reference_v22c,0,9,0,0.028,0.30911359190940857,0.8177343010902405,0.0,1.821062445640564,0.9037823677062988,41.306278228759766,0.9499999284744263,-0.5101326107978821,,37.9375,
reference_v22c,0,9,1,0.0775,0.1268872767686844,0.9481555819511414,0.0,1.9338332414627075,0.9722686409950256,60.921409606933594,0.9499999284744263,,1.7303744554519653,,22.06999969482422
reference_v22c,0,9,2,0.0155,0.411739706993103,0.7122078537940979,0.0,1.498779296875,0.8525053858757019,38.93168258666992,0.9499999284744263,,,,
reference_v22c,0,9,3,0.01,0.63603276014328,0.5495113730430603,0.0,1.202455759048462,0.7609419822692871,34.24326705932617,0.9499999284744263,,,,
reference_v22c,0,9,4,0.3205,0.2903984487056732,0.8132492899894714,1.0,0.04267140477895737,0.09721371531486511,18.5889835357666,0.9499999284744263,,,,
