method,seed,after_task,n_seen_classes,pred_entropy,pred_entropy_normalized,effective_predicted_classes,max_pred_mass,dominant_pred_class,min_true_class_recall,zero_recall_classes,collapse_warning,audit_only
probe_proto__transformed0_oracle,0,9,50,3.5620942510256657,0.91055043543534,35.23691487156242,0.07755,45,0.0,[4],True,True
probe_proto__transformed0_oracle,1,9,50,3.507698634430022,0.8966457072371247,33.37137959993637,0.0662,17,0.0,"[1, 3, 47]",True,True
probe_proto__transformed0_oracle,2,9,50,3.599861344279046,0.9202045436041764,36.59316024088731,0.07275,17,0.0,"[2, 3]",True,True
probe_proto__transformed0_oracle,3,9,50,3.588232774932669,0.9172320229083007,36.1700987069312,0.1011,47,0.0,[4],True,True
probe_proto__transformed0_oracle,4,9,50,3.4349237241655013,0.8780428232143207,31.02904570890709,0.07775,13,0.0,"[3, 4, 8, 9, 10, 46]",True,True
probe_proto__transformed1_oracle,0,9,50,3.593671097257253,0.9186221789265652,36.367339204791776,0.07435,49,0.0,[3],True,True
probe_proto__transformed1_oracle,1,9,50,3.4907498236461705,0.8923132146213262,32.810540604100055,0.10475,45,0.0,[3],True,True
probe_proto__transformed1_oracle,2,9,50,3.5388950285581577,0.9046201987175808,34.428855263112645,0.08565,13,0.0,"[1, 8]",True,True
probe_proto__transformed1_oracle,3,9,50,3.421714810244461,0.8746663313320614,30.62188073861387,0.1356,29,0.0,[2],True,True
probe_proto__transformed1_oracle,4,9,50,3.524024026276754,0.9008188401210776,33.920651791037685,0.096,48,0.0,"[1, 46]",True,True
probe_proto__transformed2_oracle,0,9,50,3.5887181157516914,0.9173560868052536,36.18765779298767,0.1172,40,0.0,[2],True,True
probe_proto__transformed2_oracle,1,9,50,3.603489657105624,0.9211320209788094,36.72617283327985,0.0725,14,0.0,[3],True,True
probe_proto__transformed2_oracle,2,9,50,3.661640326656953,0.93599662414465,38.92514047812196,0.05625,12,0.0,[1],True,True
probe_proto__transformed2_oracle,3,9,50,3.638559150243113,0.9300965626210308,38.036991632971294,0.1038,49,0.0225,[],False,True
probe_proto__transformed2_oracle,4,9,50,3.328012119549313,0.8507138416444673,27.882858784915204,0.09495,17,0.0,"[1, 2, 3, 7, 8, 16, 24]",True,True
probe_proto__transformed3_oracle,0,9,50,3.311460622980507,0.8464829113698141,27.42515404169953,0.13895,48,0.0,"[3, 4]",True,True
probe_proto__transformed3_oracle,1,9,50,3.601257997074655,0.9205615590904532,36.64430388708257,0.07025,49,0.0,"[2, 3]",True,True
probe_proto__transformed3_oracle,2,9,50,3.4004438674911737,0.8692290057530009,29.977403089485875,0.09195,48,0.0,"[4, 8, 10, 18]",True,True
probe_proto__transformed3_oracle,3,9,50,3.514021256738741,0.8982619099792728,33.58304265673827,0.11265,20,0.0,"[3, 8]",True,True
